Open time,Open,High,Low,Close,Volume
11/18/2022,1200.42,1234,1199.18,1212.58,360218.5337
11/19/2022,1212.58,1235,1197.67,1217.67,209789.5888
11/20/2022,1217.67,1227.07,1132.65,1142.21,531108.7607
11/21/2022,1142.21,1146.99,1079.76,1107.34,922647.9454
11/22/2022,1107.34,1146.13,1075,1139.6,748884.5791
11/23/2022,1139.59,1190,1127.75,1184.52,636927.1594
11/24/2022,1184.52,1217.71,1180.6,1203.73,486080.6123
11/25/2022,1203.72,1207.77,1171.2,1199.3,391430.1658
11/26/2022,1199.29,1235.66,1196.2,1205.6,379840.8116
11/27/2022,1205.61,1223.33,1188.65,1193.88,286386.7986
11/28/2022,1193.88,1199.25,1151.02,1167.77,478795.6093
11/29/2022,1167.77,1228.37,1158.27,1216.49,512143.5861
11/30/2022,1216.49,1309.77,1212.5,1294.46,815679.2717
12/1/2022,1294.46,1299.9,1262.77,1276.41,430018.7391
12/2/2022,1276.4,1297.18,1265.24,1295.59,371559.585
12/3/2022,1295.58,1309,1236.26,1240.51,347148.2588
12/4/2022,1240.5,1287.19,1240.1,1279.41,324129.5466
12/5/2022,1279.4,1305.11,1246.61,1259.41,391628.5166
12/6/2022,1259.41,1274.76,1241.56,1271.32,301631.839
12/7/2022,1271.31,1278.69,1218.01,1231.18,398559.5166
12/8/2022,1231.18,1292.58,1222.01,1280.18,406653.5447
12/9/2022,1280.18,1296.64,1250,1263.1,406008.0032
12/10/2022,1263.11,1283.61,1259.6,1266.35,182278.6396
12/11/2022,1266.35,1284.75,1255.85,1263.01,180494.902
12/12/2022,1263,1278.9,1240.03,1275.4,363750.5481
12/13/2022,1275.41,1349,1255.1,1320.69,659393.8825
12/14/2022,1320.69,1352.72,1301,1307.44,554465.5717
12/15/2022,1307.45,1311.14,1259.27,1266.54,390051.2447
12/16/2022,1266.53,1280.06,1155.32,1166.83,751422.2779
12/17/2022,1166.82,1190.03,1161.92,1187.16,328881.6281
12/18/2022,1187.16,1199.54,1170.32,1183.06,252260.144
12/19/2022,1183.06,1195,1150.51,1167.82,296832.7228
12/20/2022,1167.82,1230.47,1163.12,1216.94,465184.1943
12/21/2022,1216.95,1223.39,1203.02,1213.78,245723.8377
12/22/2022,1213.78,1237.99,1182.54,1217.71,336761.6598
12/23/2022,1217.72,1231.99,1210,1219.99,278604.2882
12/24/2022,1219.98,1227.99,1214.69,1220.41,123701.5301
12/25/2022,1220.42,1225,1193.18,1218.51,231652.0612
12/26/2022,1218.52,1231.09,1211.67,1228.11,162723.0857
12/27/2022,1228.12,1233.73,1200.58,1211.55,262437.6398
12/28/2022,1211.55,1215.78,1181.06,1190.15,367828.8914
12/29/2022,1190.15,1206.57,1186.77,1200.49,249130.4869
12/30/2022,1200.48,1202.15,1181.08,1199.99,266014.2115
12/31/2022,1199.98,1208.46,1191.66,1196.13,139379.2811
1/1/2023,1196.13,1204.67,1190.57,1200.34,117762.0685
1/2/2023,1200.33,1224.29,1193,1214,252794.14
1/3/2023,1213.99,1219.89,1204.93,1214.55,205519.4944
1/4/2023,1214.56,1272.6,1212.71,1256.9,457799.6648
1/5/2023,1256.91,1259.95,1242.81,1251.24,272805.33
1/6/2023,1251.25,1276.7,1236,1269.14,342344.2023
1/7/2023,1269.13,1271.09,1261.3,1264.07,129474.2884
1/8/2023,1264.06,1296,1257.77,1290.16,213636.7848
1/9/2023,1290.15,1344.91,1285.44,1320.39,581727.6968
1/10/2023,1320.4,1347.69,1316.8,1335.62,459660.2307
1/11/2023,1335.63,1398,1321.04,1389.39,472465.9556
1/12/2023,1389.4,1438,1361.92,1415.92,877712.4492
1/13/2023,1415.91,1464,1401.03,1451.2,499377.8649
1/14/2023,1451.21,1599.98,1449.14,1549.9,940691.7774
1/15/2023,1549.91,1566.66,1516.03,1552.52,387832.7138
1/16/2023,1552.52,1604.5,1521.31,1576.94,574622.8953
1/17/2023,1576.94,1609,1541.15,1565.57,506771.7219
1/18/2023,1565.56,1610,1501.39,1511.43,752534.8857
1/19/2023,1511.44,1564.43,1509.15,1551.09,308679.4645
1/20/2023,1551.09,1669.9,1542.02,1658.52,440570.9974
1/21/2023,1658.53,1679.26,1616.21,1626.66,494248.6009
1/22/2023,1626.65,1663.89,1604,1627.44,431729.6909
1/23/2023,1627.43,1648.09,1585.29,1626.29,407267.1156
1/24/2023,1626.28,1641.46,1535,1555.97,462275.3243
1/25/2023,1555.97,1641,1518,1611.94,646474.9166
1/26/2023,1611.95,1632.84,1577.43,1601.09,532777.8466
1/27/2023,1601.08,1621,1552.54,1597.62,512093.3875
1/28/2023,1597.61,1606.83,1555.99,1572.1,313675.6574
1/29/2023,1572.1,1660,1566.33,1644.72,551767.9134
1/30/2023,1644.73,1647.53,1535,1566.2,595055.3281
1/31/2023,1566.21,1605.18,1561.63,1585.33,348856.6751
2/1/2023,1585.32,1647.77,1555.18,1641.68,474617.1709
2/2/2023,1641.67,1714.68,1626.85,1643.12,629188.8874
2/3/2023,1643.12,1676,1625.93,1663.52,464815.032
2/4/2023,1663.52,1695.29,1645.43,1666.38,308227.1295
2/5/2023,1666.39,1673.81,1609.3,1629.02,413579.6748
2/6/2023,1629.01,1658.56,1605.01,1614.29,384119.4197
2/7/2023,1614.28,1678.37,1613.14,1671.03,451922.4
2/8/2023,1671.03,1697.91,1630.47,1650.43,417966.2539
2/9/2023,1650.42,1656.17,1524.4,1545.35,658011.6964
2/10/2023,1545.35,1555.01,1490,1513.06,484654.2199
